gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
GOA,North Goa,Sattari,Anjunem,Anjunem,1,whole_village,False,False,Anjunem,Satari,North Goa,626770,626770,100.0,dist+tal,2.436
GOA,North Goa,Sattari,Querim,Querim,2,whole_village,False,False,Querim,Satari,North Goa,626785,626785,100.0,dist+tal,12.205
GOA,North Goa,Sattari,Ambedem,Ambedem,3,whole_village,False,False,Ambedem,Satari,North Goa,626803,626803,100.0,dist+tal,1.012
GOA,North Goa,Sattari,Ambeli,Ambeli,4,whole_village,False,False,Ambeli,Satari,North Goa,626839,626839,100.0,dist+tal,2.127
GOA,North Goa,Sattari,Ansolem,Ansolem,5,whole_village,False,False,Ansolem,Satari,North Goa,626814,626814,100.0,dist+tal,1.574
GOA,North Goa,Sattari,Assodem,Assodem,6,whole_village,False,False,Assodem,Satari,North Goa,626836,626836,100.0,dist+tal,4.763
GOA,North Goa,Sattari,Birondem,Birondem,7,whole_village,False,False,Birondem,Satari,North Goa,626830,626830,100.0,dist+tal,2.679
GOA,North Goa,Sattari,Bombedem,Bombedem,8,whole_village,False,False,Bombedem,Satari,North Goa,626802,626802,100.0,dist+tal,2.157
GOA,North Goa,Sattari,Buimpal,Buimpal,9,whole_village,False,False,Buimpal,Satari,North Goa,626807,626807,100.0,dist+tal,4.198
GOA,North Goa,Sattari,Carambolim - Brama,Carambolim - Brama,10,whole_village,False,False,Carambolim Brama,Satari,North Goa,626793,626793,100.0,dist+tal,5.33
GOA,North Goa,Sattari,Caranbolim - Buzruco,Caranbolim - Buzruco,11,whole_village,False,False,Carambolim Bozruco,Satari,North Goa,626821,626821,88.2,dist+tal,4.645
GOA,North Goa,Sattari,Caranzol,Caranzol,12,whole_village,False,False,Caranzol,Satari,North Goa,626820,626820,100.0,dist+tal,39.746
GOA,North Goa,Sattari,Choraundem,Choraundem,13,whole_village,False,False,Choraundem,Satari,North Goa,626773,626773,100.0,dist+tal,6.135
GOA,North Goa,Sattari,Codal,Codal,14,whole_village,False,False,Codal,Satari,North Goa,626780,626780,100.0,dist+tal,12.333
GOA,North Goa,Sattari,Codiem,Codiem*,15,bifurcated_village,True,False,Codiem,Satari,North Goa,626812,626812,100.0,dist+tal,2.555
GOA,North Goa,Sattari,Codqui,Codqui,16,whole_village,False,False,Codqui,Satari,North Goa,626823,626823,100.0,dist+tal,2.878
GOA,North Goa,Sattari,Codvol,Codvol,17,whole_village,False,False,Codvol,Satari,North Goa,626818,626818,100.0,dist+tal,8.901
GOA,North Goa,Sattari,Compordem,Compordem,18,whole_village,False,False,Compordem,Satari,North Goa,626790,626790,100.0,dist+tal,7.357
GOA,North Goa,Sattari,Conquirem,Conquirem,19,whole_village,False,False,Conquirem,Satari,North Goa,626841,626841,100.0,dist+tal,8.917
GOA,North Goa,Sattari,Cotorem,Cotorem,20,whole_village,False,False,Cotorem,Satari,North Goa,626832,626832,100.0,dist+tal,5.261
GOA,North Goa,Sattari,Cudcem,Cudcem*,21,bifurcated_village,True,False,Cudcem,Satari,North Goa,626815,626815,100.0,dist+tal,1.984
GOA,North Goa,Sattari,Cumarconda,Cumarconda,22,whole_village,False,False,Cumarconda,Satari,North Goa,626808,626808,100.0,dist+tal,5.525
GOA,North Goa,Sattari,Dabem,Dabem*,23,bifurcated_village,True,False,Dabem,Satari,North Goa,626789,626789,100.0,dist+tal,3.39
GOA,North Goa,Sattari,Davem,Davem,24,whole_village,False,False,Davem,Satari,North Goa,626801,626801,100.0,dist+tal,5.96
GOA,North Goa,Sattari,Derodem,Derodem,25,whole_village,False,False,Derodem,Satari,North Goa,626779,626779,100.0,dist+tal,12.972
GOA,North Goa,Sattari,Dongurli,Dongurli,26,whole_village,False,False,Dongurli,Satari,North Goa,626782,626782,100.0,dist+tal,9.803
GOA,North Goa,Sattari,Edorem,Edorem,27,whole_village,False,False,Edorem,Satari,North Goa,626791,626791,100.0,dist+tal,1.454
GOA,North Goa,Sattari,Golauli,Golauli,28,whole_village,False,False,Golauli,Satari,North Goa,626776,626776,100.0,dist+tal,6.34
GOA,North Goa,Sattari,Govanem,Govanem,29,whole_village,False,False,Govanem,Satari,North Goa,626837,626837,100.0,dist+tal,4.316
GOA,North Goa,Sattari,Gululem,Gululem,30,whole_village,False,False,Gululem,Satari,North Goa,626784,626784,100.0,dist+tal,7.639
GOA,North Goa,Sattari,Ivrem - Buzruco,Ivrem - Buzruco,31,whole_village,False,False,Ivrem Buzruco,Satari,North Goa,626774,626774,100.0,dist+tal,4.855
GOA,North Goa,Sattari,Ivrem - Curdo,Ivrem - Curdo,32,whole_village,False,False,Ivrem Curdo,Satari,North Goa,626775,626775,100.0,dist+tal,3.638
GOA,North Goa,Sattari,Maloli,Maloli,33,whole_village,False,False,Maloli,Satari,North Goa,626796,626796,100.0,dist+tal,5.508
GOA,North Goa,Sattari,Malpona,Malpona,34,whole_village,False,False,Malpona,Satari,North Goa,626838,626838,100.0,dist+tal,4.019
GOA,North Goa,Sattari,Mauxi,Mauxi,35,whole_village,False,False,Mauzi,Satari,North Goa,626806,626806,80.0,dist+tal,6.239
GOA,North Goa,Sattari,Melauli,Melauli,36,whole_village,False,False,Melauli,Satari,North Goa,626840,626840,100.0,dist+tal,16.197
GOA,North Goa,Sattari,Nagargao,Nagargao*,37,bifurcated_village,True,False,Nagargao,Satari,North Goa,626804,626804,100.0,dist+tal,1.886
GOA,North Goa,Sattari,Naguem,Naguem,38,whole_village,False,False,Naguem,Satari,North Goa,626813,626813,100.0,dist+tal,3.329
GOA,North Goa,Sattari,Naneli,Naneli,39,whole_village,False,False,Naneli,Satari,North Goa,626792,626792,100.0,dist+tal,5.988
GOA,North Goa,Sattari,Nanorem,Nanorem,40,whole_village,False,False,Nanorem,Satari,North Goa,626797,626797,100.0,dist+tal,3.636
GOA,North Goa,Sattari,Pale,Pale,41,whole_village,False,False,Pale,Satari,North Goa,626783,626783,100.0,dist+tal,7.968
GOA,North Goa,Sattari,Pendral,Pendral,42,whole_village,False,False,Pendral,Satari,North Goa,626819,626819,100.0,dist+tal,16.768
GOA,North Goa,Sattari,Ponocem,Ponocem,43,whole_village,False,False,Ponocem,Satari,North Goa,626826,626826,100.0,dist+tal,2.81
GOA,North Goa,Sattari,Ponsuli,Ponsuli *,44,bifurcated_village,True,False,Ponsuli,Satari,North Goa,626772,626772,100.0,dist+tal,3.537
GOA,North Goa,Sattari,Quelaudem,Quelaudem,45,whole_village,False,False,Quelaudem,Satari,North Goa,626771,626771,100.0,dist+tal,3.65
GOA,North Goa,Sattari,Rivem,Rivem,46,whole_village,False,False,Rivem,Satari,North Goa,626781,626781,100.0,dist+tal,8.673
GOA,North Goa,Sattari,Sanvordem,Sanvordem,47,whole_village,False,False,Sanvordem,Satari,North Goa,626816,626816,100.0,dist+tal,3.055
GOA,North Goa,Sattari,Satorem,Satorem*,48,bifurcated_village,True,False,Satorem,Satari,North Goa,626805,626805,100.0,dist+tal,1.834
GOA,North Goa,Sattari,Satrem,Satrem,49,whole_village,False,False,Satrem,Satari,North Goa,626778,626778,100.0,dist+tal,22.289
GOA,North Goa,Sattari,Sigonem,Sigonem,50,whole_village,False,False,Sigonem,Satari,North Goa,626795,626795,100.0,dist+tal,3.396
GOA,North Goa,Sattari,Siranguli,Siranguli*,51,bifurcated_village,True,False,Siranguli,Satari,North Goa,626834,626834,100.0,dist+tal,3.035
GOA,North Goa,Sattari,Siroli,Siroli,52,whole_village,False,False,Siroli,Satari,North Goa,626769,626769,100.0,dist+tal,3.566
GOA,North Goa,Sattari,Sirsodem,Sirsodem,53,whole_village,False,False,Sirsodem,Satari,North Goa,626835,626835,100.0,dist+tal,2.991
GOA,North Goa,Sattari,Sonal,Sonal,54,whole_village,False,False,Sonal,Satari,North Goa,626817,626817,100.0,dist+tal,2.837
GOA,North Goa,Sattari,Surla,Surla,55,whole_village,False,False,Surla,Satari,North Goa,626777,626777,100.0,dist+tal,14.611
GOA,North Goa,Sattari,Ustem,Ustem,56,whole_village,False,False,Ustem,Satari,North Goa,626800,626800,100.0,dist+tal,4.372
GOA,North Goa,Sattari,Vainguinim,Vainguinim,57,whole_village,False,False,Vainguinim,Satari,North Goa,626798,626798,100.0,dist+tal,8.728
GOA,North Goa,Sattari,Velguem,Velguem,58,whole_village,False,False,Velguem,Satari,North Goa,626822,626822,100.0,dist+tal,6.612
GOA,North Goa,Sattari,Xelopo - Buzruco,Xelopo - Buzruco,60,whole_village,False,False,Xelopo Buzruco,Satari,North Goa,626794,626794,100.0,dist+tal,1.689
GOA,North Goa,Sattari,Xelopo - Curdo,Xelopo - Curdo,61,whole_village,False,False,Xelopo Curdo,Satari,North Goa,626833,626833,100.0,dist+tal,4.363
GOA,North Goa,Sattari,Zarani,Zarani,62,whole_village,False,False,Zarani,Satari,North Goa,626799,626799,100.0,dist+tal,8.684
GOA,North Goa,Sattari,Zormen,Zormen,63,whole_village,False,False,Zormen,Satari,North Goa,626788,626788,100.0,dist+tal,7.271
GOA,North Goa,Ponda,Gangem,Gangem*,64,bifurcated_village,True,False,Gangem,Ponda,North Goa,626852,626852,100.0,dist+tal,5.262
GOA,South Goa,Canacona,Cola,Cola,65,whole_village,False,False,Cola,Canacona,South Goa,627022,627022,100.0,dist+tal,32.546
GOA,South Goa,Canacona,Cotigao,Cotigao,66,whole_village,False,False,Cotigao,Canacona,South Goa,627028,627028,100.0,dist+tal,110.639
GOA,South Goa,Canacona,Gaodongrem,Gaodongrem,67,whole_village,False,False,Gaodongrem,Canacona,South Goa,627025,627025,100.0,dist+tal,68.015
GOA,South Goa,Canacona,Loliem,Loliem,68,whole_village,False,False,Loliem,Canacona,South Goa,627027,627027,100.0,dist+tal,41.459
GOA,South Goa,Canacona,Poinguinim,Poinguinim,69,whole_village,False,False,Poinguinim,Canacona,South Goa,627026,627026,100.0,dist+tal,34.299
GOA,South Goa,Dharbandora,Algote,Algote,70,whole_village,False,False,Aglote,Dharbandora,South Goa,626973,626973,83.3,dist+tal,16.462
GOA,South Goa,Dharbandora,Camarconda,Camarconda,71,whole_village,False,False,Camarconda,Dharbandora,South Goa,626982,626982,100.0,dist+tal,8.036
GOA,South Goa,Dharbandora,Caranzol,Caranzol,72,whole_village,False,False,Caranzol,Dharbandora,South Goa,626976,626976,100.0,dist+tal,25.396
