vid,gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
597922,KARNATAKA,Belgaum,Khanapur,Abanali,Abanali,2,whole_village,False,False,Abanali,Khanapur,Belagavi,597922,597922,100.0,dist+tal,11.355
597929,KARNATAKA,Belgaum,Khanapur,Akrali,Akrali,3,whole_village,False,False,Akrali,Khanapur,Belagavi,597929,597929,100.0,dist+tal,29.645
597932,KARNATAKA,Belgaum,Khanapur,Ambewadi,Ambewadi,5,whole_village,False,False,Ambewadi,Khanapur,Belagavi,597932,597932,100.0,dist+tal,4.539
597816,KARNATAKA,Belgaum,Khanapur,Amgaon,Amgaon,6,whole_village,False,False,Amagaon,Khanapur,Belagavi,597816,597816,92.3,dist+tal,30.65
597821,KARNATAKA,Belgaum,Khanapur,Bailur,Bailur,7,whole_village,False,False,Bailur,Khanapur,Belagavi,597821,597821,100.0,dist+tal,24.53
597978,KARNATAKA,Belgaum,Khanapur,Bastwad,Bastwad,8,whole_village,False,False,Bastawad,Khanapur,Belagavi,597978,597978,93.3,dist+tal,5.192
597812,KARNATAKA,Belgaum,Khanapur,Betageri,Betageri,9,whole_village,False,False,Betageri,Khanapur,Belagavi,597812,597812,100.0,dist+tal,5.511
597809,KARNATAKA,Belgaum,Khanapur,Betne,Betne,10,whole_village,False,False,Betne,Khanapur,Belagavi,597809,597809,100.0,dist+tal,15.155
597817,KARNATAKA,Belgaum,Khanapur,Chapoli,Chapoli,11,whole_village,False,False,Chapoli,Khanapur,Belagavi,597817,597817,100.0,dist+tal,27.611
597804,KARNATAKA,Belgaum,Khanapur,Chigule,Chigule,12,whole_village,False,False,Chigule,Khanapur,Belagavi,597804,597804,100.0,dist+tal,22.299
597808,KARNATAKA,Belgaum,Khanapur,Chikhale,Chikhale,13,whole_village,False,False,Chikhale,Khanapur,Belagavi,597808,597808,100.0,dist+tal,21.558
597964,KARNATAKA,Belgaum,Khanapur,Chinchewadi,Chinchewadi,14,whole_village,False,False,Chinchewadi,Khanapur,Belagavi,597964,597964,100.0,dist+tal,4.088
597806,KARNATAKA,Belgaum,Khanapur,Chorle,Chorle,15,whole_village,False,False,Chorla,Khanapur,Belagavi,597806,597806,100.0,dist+tal,37.246
597835,KARNATAKA,Belgaum,Khanapur,Daroli,Daroli,16,whole_village,False,False,Daroli,Khanapur,Belagavi,597835,597835,100.0,dist+tal,2.797
597916,KARNATAKA,Belgaum,Khanapur,Degaon,Degaon,17,whole_village,False,False,Degaon,Khanapur,Belagavi,597916,597916,100.0,dist+tal,6.812
597927,KARNATAKA,Belgaum,Khanapur,Dongargaon,Dongargaon,18,whole_village,False,False,Dongargaon,Khanapur,Belagavi,597927,597927,100.0,dist+tal,15.494
597815,KARNATAKA,Belgaum,Khanapur,Gavse,Gavse,19,whole_village,False,False,Gawase,Khanapur,Belagavi,597815,597815,88.9,dist+tal,11.161
597963,KARNATAKA,Belgaum,Khanapur,Gharli,Gharli,20,whole_village,False,False,Gharli,Khanapur,Belagavi,597963,597963,100.0,dist+tal,5.572
597957,KARNATAKA,Belgaum,Khanapur,Ghose B,Ghose B,21,whole_village,False,False,Ghose B K,Khanapur,Belagavi,597957,597957,92.3,dist+tal,3.238
597946,KARNATAKA,Belgaum,Khanapur,Ghose K,Ghose K,22,whole_village,False,False,Ghose K H,Khanapur,Belagavi,597946,597946,92.3,dist+tal,6.514
597971,KARNATAKA,Belgaum,Khanapur,Ghotgali,Ghotgali,23,whole_village,False,False,Ghotagali,Khanapur,Belagavi,597971,597971,94.1,dist+tal,7.995
597811,KARNATAKA,Belgaum,Khanapur,Golyali,Golyali,24,whole_village,False,False,Golyali,Khanapur,Belagavi,597811,597811,100.0,dist+tal,17.368
597917,KARNATAKA,Belgaum,Khanapur,Gowali,Gowali,25,whole_village,False,False,Gavali,Khanapur,Belagavi,597917,597917,80.0,dist+tal,52.543
597921,KARNATAKA,Belgaum,Khanapur,Hemadge,Hemadge,26,whole_village,False,False,Hemmadaga,Khanapur,Belagavi,597921,597921,92.3,dist+tal,33.034
597913,KARNATAKA,Belgaum,Khanapur,Holade,Holade,27,whole_village,False,False,Holda,Khanapur,Belagavi,597913,597913,88.9,dist+tal,11.643
597803,KARNATAKA,Belgaum,Khanapur,Holand,Holand,28,whole_village,False,False,Huland,Khanapur,Belagavi,597803,597803,83.3,dist+tal,23.977
597920,KARNATAKA,Belgaum,Khanapur,Jamagaon,Jamagaon,29,whole_village,False,False,Jamagaon,Khanapur,Belagavi,597920,597920,100.0,dist+tal,14.897
597826,KARNATAKA,Belgaum,Khanapur,Jamboti,Jamboti,30,whole_village,False,False,Jamboti,Khanapur,Belagavi,597826,597826,100.0,dist+tal,16.207
597830,KARNATAKA,Belgaum,Khanapur,Kabanali,Kabanali,31,whole_village,False,False,Kabanali,Khanapur,Belagavi,597830,597830,100.0,dist+tal,9.166
597818,KARNATAKA,Belgaum,Khanapur,Kalmani,Kalmani,32,whole_village,False,False,Kalmani,Khanapur,Belagavi,597818,597818,100.0,dist+tal,8.203
597944,KARNATAKA,Belgaum,Khanapur,Kamatge,Kamatge,33,whole_village,False,False,Kamatage,Khanapur,Belagavi,597944,597944,93.3,dist+tal,6.009
597805,KARNATAKA,Belgaum,Khanapur,Kankumbi,Kankumbi,34,whole_village,False,False,Kanakumbi,Khanapur,Belagavi,597805,597805,94.1,dist+tal,31.397
597956,KARNATAKA,Belgaum,Khanapur,Kapoli,Kapoli,35,whole_village,False,False,Kapoli K G,Khanapur,Belagavi,597956,597956,100.0,dist+tal,11.391
597831,KARNATAKA,Belgaum,Khanapur,Kavale,Kavale,36,whole_village,False,False,Kavale,Khanapur,Belagavi,597831,597831,100.0,dist+tal,5.694
597914,KARNATAKA,Belgaum,Khanapur,Kelil,Kelil,37,whole_village,False,False,Kelil,Khanapur,Belagavi,597914,597914,100.0,dist+tal,16.151
597873,KARNATAKA,Belgaum,Khanapur,Khanapur (Rural),Khanapur (Rural),38,whole_village,False,False,Khanapur Rural,Khanapur,Belagavi,597873,597873,100.0,dist+tal,1.773
597931,KARNATAKA,Belgaum,Khanapur,Kirvale,Kirvale,39,whole_village,False,False,Kirawale K G,Khanapur,Belagavi,597931,597931,92.3,dist+tal,10.003
597965,KARNATAKA,Belgaum,Khanapur,Kodagai,Kodagai,40,whole_village,False,False,Kodagai,Khanapur,Belagavi,597965,597965,100.0,dist+tal,3.922
597919,KARNATAKA,Belgaum,Khanapur,Kongle,Kongle,41,whole_village,False,False,Kongale,Khanapur,Belagavi,597919,597919,92.3,dist+tal,13.592
597975,KARNATAKA,Belgaum,Khanapur,Kumbharde,Kumbharde,42,whole_village,False,False,Kumbarda,Khanapur,Belagavi,597975,597975,93.3,dist+tal,13.118
597924,KARNATAKA,Belgaum,Khanapur,Manturge,Manturge,43,whole_village,False,False,Manturga,Khanapur,Belagavi,597924,597924,100.0,dist+tal,12.281
597915,KARNATAKA,Belgaum,Khanapur,Mendil,Mendil,44,whole_village,False,False,Mendil,Khanapur,Belagavi,597915,597915,100.0,dist+tal,13.285
597930,KARNATAKA,Belgaum,Khanapur,Mohiset,Mohiset,45,whole_village,False,False,Mohiset,Khanapur,Belagavi,597930,597930,100.0,dist+tal,12.661
597822,KARNATAKA,Belgaum,Khanapur,Morab,Morab,46,whole_village,False,False,Morab,Khanapur,Belagavi,597822,597822,100.0,dist+tal,3.831
597962,KARNATAKA,Belgaum,Khanapur,Mundwad Pimple,Mundwad Pimple,47,whole_village,False,False,Mundwad Pimpale,Khanapur,Belagavi,597962,597962,96.3,dist+tal,7.58
597829,KARNATAKA,Belgaum,Khanapur,Mungvade,Mungvade,48,whole_village,False,False,Mugawade,Khanapur,Belagavi,597829,597829,85.7,dist+tal,10.435
597980,KARNATAKA,Belgaum,Khanapur,Nagargali,Nagargali,49,whole_village,False,False,Nagaragali,Khanapur,Belagavi,597980,597980,94.7,dist+tal,37.528
597923,KARNATAKA,Belgaum,Khanapur,Nerse,Nerse,50,whole_village,False,False,Nerase,Khanapur,Belagavi,597923,597923,90.9,dist+tal,19.846
597953,KARNATAKA,Belgaum,Khanapur,Padalvadi,Padalvadi,51,whole_village,False,False,Padalwadi,Khanapur,Belagavi,597953,597953,100.0,dist+tal,3.778
597807,KARNATAKA,Belgaum,Khanapur,Parwad,Parwad,52,whole_village,False,False,Parwad,Khanapur,Belagavi,597807,597807,100.0,dist+tal,14.001
597918,KARNATAKA,Belgaum,Khanapur,Pashtoli,Pashtoli,53,whole_village,False,False,Pastoli,Khanapur,Belagavi,597918,597918,100.0,dist+tal,7.11
597960,KARNATAKA,Belgaum,Khanapur,Satnali,Satnali,54,whole_village,False,False,Satanali,Khanapur,Belagavi,597960,597960,93.3,dist+tal,3.471
597968,KARNATAKA,Belgaum,Khanapur,Shindoli B,Shindoli B,55,whole_village,False,False,Shindholli B K,Khanapur,Belagavi,597968,597968,88.9,dist+tal,1.783
597766,KARNATAKA,Belgaum,Khanapur,Shindoli K,Shindoli K,56,whole_village,False,False,Shindoli Part,Belagavi,Belagavi,597766,597766,94.1,dist,4.726
597926,KARNATAKA,Belgaum,Khanapur,Shiroli,Shiroli,57,whole_village,False,False,Shiroli,Khanapur,Belagavi,597926,597926,100.0,dist+tal,9.559
597974,KARNATAKA,Belgaum,Khanapur,Siwatwadi,Siwatwadi,58,whole_village,False,False,Suwatawadi,Khanapur,Belagavi,597974,597974,84.2,dist+tal,6.927
597979,KARNATAKA,Belgaum,Khanapur,Sulegali,Sulegali,59,whole_village,False,False,Sulegali,Khanapur,Belagavi,597979,597979,100.0,dist+tal,3.95
597973,KARNATAKA,Belgaum,Khanapur,Tarwad,Tarwad,60,whole_village,False,False,Tarawad,Khanapur,Belagavi,597973,597973,92.3,dist+tal,5.152
