vid,gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
628041,KERALA,Ernakulam,Kothamangalam,Kuttampuzha,Kuttampuzha,1,kerala_village,False,False,Kuttampuzha,Kothamangalam,Ernakulam,628041,628041,100.0,dist+tal,659.894
628057,KERALA,Idukki,Devikulam,Anaviratty,Anaviratty,2,kerala_village,False,False,Anaviratty,Devikulam,Idukki,628057,628057,100.0,dist+tal,22.362
628051,KERALA,Idukki,Devikulam,Kanthaloor,Kanthaloor,4,kerala_village,False,False,Kanthalloor,Devikulam,Idukki,628051,628051,100.0,dist+tal,47.502
628054,KERALA,Idukki,Devikulam,KDH,KDH,5,kerala_village,False,False,Kannan Devan Hills,Devikulam,Idukki,628054,628054,100.0,dist+tal,485.053
628050,KERALA,Idukki,Devikulam,Keezhanthoor,Keezhanthoor,6,kerala_village,False,False,Keezhanthoor,Devikulam,Idukki,628050,628050,100.0,dist+tal,67.997
628052,KERALA,Idukki,Devikulam,Kottakamboor,Kottakamboor,7,kerala_village,False,False,Kottakamboor,Devikulam,Idukki,628052,628052,100.0,dist+tal,41.252
628059,KERALA,Idukki,Devikulam,Kunjithanny,Kunjithanny,8,kerala_village,False,False,Kunjithanny,Devikulam,Idukki,628059,628059,100.0,dist+tal,17.844
628055,KERALA,Idukki,Devikulam,Mankulam,Mankulam,9,kerala_village,False,False,Mankulam,Devikulam,Idukki,628055,628055,100.0,dist+tal,80.176
628056,KERALA,Idukki,Devikulam,Mannamkandam,Mannamkandam,10,kerala_village,False,False,Mannamkandam,Devikulam,Idukki,628056,628056,100.0,dist+tal,183.407
628049,KERALA,Idukki,Devikulam,Marayur,Marayur,11,kerala_village,False,False,Marayoor,Devikulam,Idukki,628049,628049,100.0,dist+tal,110.39
628058,KERALA,Idukki,Devikulam,Pallivasal,Pallivasal,13,kerala_village,False,False,Pallivasal,Devikulam,Idukki,628058,628058,100.0,dist+tal,38.633
628053,KERALA,Idukki,Devikulam,Vattavada,Vattavada,14,kerala_village,False,False,Vattavada,Devikulam,Idukki,628053,628053,100.0,dist+tal,27.062
628060,KERALA,Idukki,Devikulam,Vellathooval,Vellathooval,15,kerala_village,False,False,Vellathuval,Devikulam,Idukki,628060,628060,100.0,dist+tal,34.007
628080,KERALA,Idukki,Idukki,Ayyappankovil,Ayyappankovil,16,kerala_village,False,False,Ayyappancoil,Idukki,Idukki,628080,628080,88.0,dist+tal,118.835
628099,KERALA,Idukki,Idukki,Idukki,Idukki,17,kerala_village,False,False,Idukki,Idukki,Idukki,628099,628099,100.0,dist+tal,268.52
628087,KERALA,Idukki,Idukki,Kanjikuzhi,Kanjikuzhi,19,kerala_village,False,False,Kanjikuzhi,Idukki,Idukki,628087,628087,100.0,dist+tal,72.605
