gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
MAHARASHTRA,Ahmadnagar,Akole,Abit Khind,Abit Khind,1,whole_village,False,False,Abit Khind,Akole,Ahilyanagar,557293,557293,100.0,dist+tal,4.707
MAHARASHTRA,Ahmadnagar,Akole,Ambevangan,Ambevangan,2,whole_village,False,False,Ambevangan,Akole,Ahilyanagar,557140,557140,100.0,dist+tal,6.799
MAHARASHTRA,Ahmadnagar,Akole,Ambhol,Ambhol,3,whole_village,False,False,Ambhol,Akole,Ahilyanagar,557282,557282,100.0,dist+tal,7.864
MAHARASHTRA,Ahmadnagar,Akole,Ambit,Ambit,4,whole_village,False,False,Ambit,Akole,Ahilyanagar,557190,557190,100.0,dist+tal,8.072
MAHARASHTRA,Ahmadnagar,Akole,Bari,Bari,5,whole_village,False,False,Bari,Akole,Ahilyanagar,557127,557127,100.0,dist+tal,6.061
MAHARASHTRA,Ahmadnagar,Akole,Bitaka,Bitaka,6,whole_village,False,False,Bitaka,Akole,Ahilyanagar,557200,557200,100.0,dist+tal,5.53
MAHARASHTRA,Ahmadnagar,Akole,Brmhanwada,Brmhanwada,7,whole_village,False,False,Bramhanwada,Akole,Ahilyanagar,557309,557309,95.2,dist+tal,28.694
MAHARASHTRA,Ahmadnagar,Akole,Dhamanvan,Dhamanvan,8,whole_village,False,False,Dhamanvan,Akole,Ahilyanagar,557175,557175,100.0,dist+tal,6.005
MAHARASHTRA,Ahmadnagar,Akole,Esarthav,Esarthav,9,whole_village,False,False,Esarthav,Akole,Ahilyanagar,557300,557300,100.0,dist+tal,4.89
MAHARASHTRA,Ahmadnagar,Akole,Garwadi,Garwadi,10,whole_village,False,False,Garwadi,Akole,Ahilyanagar,557304,557304,100.0,dist+tal,6.458
MAHARASHTRA,Ahmadnagar,Akole,Ghatghar,Ghatghar,11,whole_village,False,False,Ghatghar,Akole,Ahilyanagar,557148,557148,100.0,dist+tal,23.625
MAHARASHTRA,Ahmadnagar,Akole,Godewadi,Godewadi,12,whole_village,False,False,Godewadi,Akole,Ahilyanagar,557303,557303,100.0,dist+tal,4.902
MAHARASHTRA,Ahmadnagar,Akole,Jahagirdarwadi,Jahagirdarwadi,13,whole_village,False,False,Jahagirdarwadi,Akole,Ahilyanagar,557128,557128,100.0,dist+tal,4.473
MAHARASHTRA,Ahmadnagar,Akole,Keli Kotul,Keli Kotul,14,whole_village,False,False,Keli Kotul,Akole,Ahilyanagar,557302,557302,100.0,dist+tal,6.255
MAHARASHTRA,Ahmadnagar,Akole,Keli Otur,Keli Otur,15,whole_village,False,False,Keli Otur,Akole,Ahilyanagar,557301,557301,100.0,dist+tal,5.945
MAHARASHTRA,Ahmadnagar,Akole,Khetewadi,Khetewadi,16,whole_village,False,False,Khetewadi,Akole,Ahilyanagar,557299,557299,100.0,dist+tal,2.692
MAHARASHTRA,Ahmadnagar,Akole,Koltembhe,Koltembhe,17,whole_village,False,False,Koltembhe,Akole,Ahilyanagar,557177,557177,100.0,dist+tal,12.721
MAHARASHTRA,Ahmadnagar,Akole,Kothale,Kothale,18,whole_village,False,False,Kothale,Akole,Ahilyanagar,557275,557275,100.0,dist+tal,8.112
MAHARASHTRA,Ahmadnagar,Akole,Kotul,Kotul,19,whole_village,False,False,Kotul,Akole,Ahilyanagar,557268,557268,100.0,dist+tal,20.906
MAHARASHTRA,Ahmadnagar,Akole,Kumshet,Kumshet,20,whole_village,False,False,Kumshet,Akole,Ahilyanagar,557178,557178,100.0,dist+tal,29.157
MAHARASHTRA,Ahmadnagar,Akole,Lavhali Kotul,Lavhali Kotul,21,whole_village,False,False,Lavhali Kotul,Akole,Ahilyanagar,557273,557273,100.0,dist+tal,11.002
MAHARASHTRA,Ahmadnagar,Akole,Lavhali Otur,Lavhali Otur,22,whole_village,False,False,Lavhali Otur,Akole,Ahilyanagar,557274,557274,100.0,dist+tal,4.241
MAHARASHTRA,Ahmadnagar,Akole,Mahadeowadi,Mahadeowadi,23,whole_village,False,False,Mahadeowadi,Akole,Ahilyanagar,557283,557283,100.0,dist+tal,4.791
MAHARASHTRA,Ahmadnagar,Akole,Murshet,Murshet,24,whole_village,False,False,Murshet,Akole,Ahilyanagar,557151,557151,100.0,dist+tal,7.756
MAHARASHTRA,Ahmadnagar,Akole,Mutkhel,Mutkhel,25,whole_village,False,False,Mutkhel,Akole,Ahilyanagar,557163,557163,100.0,dist+tal,13.663
MAHARASHTRA,Ahmadnagar,Akole,Pachanai,Pachanai,26,whole_village,False,False,Pachanai,Akole,Ahilyanagar,557191,557191,100.0,dist+tal,24.852
MAHARASHTRA,Ahmadnagar,Akole,Paithan,Paithan,27,whole_village,False,False,Paithan,Akole,Ahilyanagar,557269,557269,100.0,dist+tal,8.414
MAHARASHTRA,Ahmadnagar,Akole,Palsunde,Palsunde,28,whole_village,False,False,Palsunde,Akole,Ahilyanagar,557294,557294,100.0,dist+tal,8.56
MAHARASHTRA,Ahmadnagar,Akole,Panjare,Panjare,29,whole_village,False,False,Panjare,Akole,Ahilyanagar,557145,557145,100.0,dist+tal,14.428
MAHARASHTRA,Ahmadnagar,Akole,Phophasandi,Phophasandi,30,whole_village,False,False,Phophasandi,Akole,Ahilyanagar,557295,557295,100.0,dist+tal,15.175
MAHARASHTRA,Ahmadnagar,Akole,Ratanwadi,Ratanwadi,31,whole_village,False,False,Ratanwadi,Akole,Ahilyanagar,557150,557150,100.0,dist+tal,10.781
MAHARASHTRA,Ahmadnagar,Akole,Samrad,Samrad,32,whole_village,False,False,Samrad,Akole,Ahilyanagar,557149,557149,100.0,dist+tal,17.641
MAHARASHTRA,Ahmadnagar,Akole,Satewadi,Satewadi,33,whole_village,False,False,Satewadi,Akole,Ahilyanagar,557297,557297,100.0,dist+tal,7.985
MAHARASHTRA,Ahmadnagar,Akole,Senit Kh.,Senit Kh.,34,whole_village,False,False,Senit Kh,Akole,Ahilyanagar,557131,557131,100.0,dist+tal,9.459
MAHARASHTRA,Ahmadnagar,Akole,Shelad,Shelad,35,whole_village,False,False,Shelad,Akole,Ahilyanagar,557257,557257,100.0,dist+tal,7.384
MAHARASHTRA,Ahmadnagar,Akole,Shenit,Shenit,36,whole_village,False,False,Shenit,Akole,Ahilyanagar,557130,557130,100.0,dist+tal,5.25
MAHARASHTRA,Ahmadnagar,Akole,Shilvandi,Shilvandi,37,whole_village,False,False,Shilvandi,Akole,Ahilyanagar,557281,557281,100.0,dist+tal,2.857
MAHARASHTRA,Ahmadnagar,Akole,Shinde,Shinde,38,whole_village,False,False,Shinde,Akole,Ahilyanagar,557277,557277,100.0,dist+tal,1.378
MAHARASHTRA,Ahmadnagar,Akole,Shinganwadi,Shinganwadi,39,whole_village,False,False,Shinganwadi,Akole,Ahilyanagar,557147,557147,100.0,dist+tal,7.46
MAHARASHTRA,Ahmadnagar,Akole,Shirpunje Bk.,Shirpunje Bk.,40,whole_village,False,False,Shirpunje Bk,Akole,Ahilyanagar,557176,557176,100.0,dist+tal,11.192
MAHARASHTRA,Ahmadnagar,Akole,Shirpunje Kh.,Shirpunje Kh.,41,whole_village,False,False,Shirpunje Kh,Akole,Ahilyanagar,557179,557179,100.0,dist+tal,10.201
MAHARASHTRA,Ahmadnagar,Akole,Shiswad,Shiswad,42,whole_village,False,False,Shiswad,Akole,Ahilyanagar,557189,557189,100.0,dist+tal,5.968
MAHARASHTRA,Ahmadnagar,Akole,Somalwadi,Somalwadi,43,whole_village,False,False,Somalwadi,Akole,Ahilyanagar,557280,557280,100.0,dist+tal,4.091
MAHARASHTRA,Ahmadnagar,Akole,Tale,Tale,44,whole_village,False,False,Tale,Akole,Ahilyanagar,557276,557276,100.0,dist+tal,7.79
MAHARASHTRA,Ahmadnagar,Akole,Udadawane,Udadawane,45,whole_village,False,False,Udadawane,Akole,Ahilyanagar,557146,557146,100.0,dist+tal,16.439
MAHARASHTRA,Ahmadnagar,Akole,Umbarwadi,Umbarwadi,46,whole_village,False,False,Umbarwadi,Akole,Ahilyanagar,557296,557296,100.0,dist+tal,2.313
MAHARASHTRA,Ahmadnagar,Akole,Vihir,Vihir,47,whole_village,False,False,Vihir,Akole,Ahilyanagar,557278,557278,100.0,dist+tal,4.808
MAHARASHTRA,Ahmadnagar,Akole,Waranghushi,Waranghushi,48,whole_village,False,False,Waranghushi,Akole,Ahilyanagar,557129,557129,100.0,dist+tal,16.187
MAHARASHTRA,Dhule,Sakri,Chawadipada,Chawadipada*,49,bifurcated_village,True,False,Chhavadi,Sakri,Dhule,526305,526305,75.0,dist+tal,15.369
MAHARASHTRA,Dhule,Sakri,Dhamandhar,Dhamandhar,50,whole_village,False,False,Dhamandhar,Sakri,Dhule,526437,526437,100.0,dist+tal,11.399
MAHARASHTRA,Dhule,Sakri,Kalgaon,Kalgaon,51,whole_village,False,False,Kalgaon,Sakri,Dhule,526456,526456,100.0,dist+tal,16.375
MAHARASHTRA,Dhule,Sakri,Mavchipada,Mavchipada*,52,bifurcated_village,True,False,Mavajipada,Sakri,Dhule,526259,526259,80.0,dist+tal,3.281
MAHARASHTRA,Dhule,Sakri,Mohagaon,Mohagaon,53,whole_village,False,False,Mohagaon,Sakri,Dhule,526409,526409,100.0,dist+tal,5.115
MAHARASHTRA,Dhule,Sakri,Shenwad,Shenwad,54,whole_village,False,False,Shenwad,Sakri,Dhule,526410,526410,100.0,dist+tal,15.535
MAHARASHTRA,Dhule,Sakri,Vardadi,Vardadi,55,whole_village,False,False,Vardadi,Sakri,Dhule,526416,526416,100.0,dist+tal,6.91
MAHARASHTRA,Kolhapur,Ajra,Ambade,Ambade,56,whole_village,False,False,Ambade,Ajra,Kolhapur,567925,567925,100.0,dist+tal,7.965
MAHARASHTRA,Kolhapur,Ajra,Awandi,Awandi,57,whole_village,False,False,Awandi,Ajra,Kolhapur,567920,567920,100.0,dist+tal,12.688
