gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
TAMIL NADU,Coimbatore,Coimbatore North,Anaikatti (North),Anaikatti (North),1,whole_village,False,False,Anaikatti South,Coimbatore North,Coimbatore,644441,644441,100.0,dist+tal,19.025
TAMIL NADU,Coimbatore,Coimbatore North,Anaikatti (South),Anaikatti (South),2,whole_village,False,False,Anaikatti North,Coimbatore North,Coimbatore,644440,644440,100.0,dist+tal,6.361
TAMIL NADU,Coimbatore,Coimbatore North,Thadagam R.F.,Thadagam R.F.,3,notified_forest,False,True,Thadagam R F,Coimbatore North,Coimbatore,644439,644439,100.0,dist+tal,125.504
TAMIL NADU,Coimbatore,Coimbatore North,Veerapandi,Veerapandi,4,whole_village,False,False,Veerapandi Tp,Coimbatore North,Coimbatore,803970,260291,100.0,dist+tal,12.494
TAMIL NADU,Coimbatore,Coimbatore South,Boluvampatti (Block I),Boluvampatti (Block I),5,whole_village,False,False,Boluvampatti Block I,Perur,Coimbatore,644466,644466,100.0,dist,31.839
TAMIL NADU,Coimbatore,Coimbatore South,Booluvampatti (Block II),Booluvampatti (Block II),6,whole_village,False,False,Booluvampatti Block II,Perur,Coimbatore,644467,644467,100.0,dist,106.052
TAMIL NADU,Coimbatore,Mettupalayam,Anaikatti North R.F.,Anaikatti North R.F.,7,notified_forest,False,True,Anaikatti North R F,Mettupalayam,Coimbatore,644369,644369,100.0,dist+tal,18.814
TAMIL NADU,Coimbatore,Mettupalayam,Hulical Drug R.F.,Hulical Drug R.F.,8,notified_forest,False,True,Hulical Drug R F,Mettupalayam,Coimbatore,644361,644361,100.0,dist+tal,13.173
TAMIL NADU,Coimbatore,Mettupalayam,Jaganarai Slopes R.F.,Jaganarai Slopes R.F.,9,notified_forest,False,True,Jaganarai Slopes R F,Mettupalayam,Coimbatore,644357,644357,100.0,dist+tal,21.34
TAMIL NADU,Coimbatore,Mettupalayam,Kallar R.F.,Kallar R.F.,10,notified_forest,False,True,Kallar R F,Mettupalayam,Coimbatore,644360,644360,100.0,dist+tal,5.88
TAMIL NADU,Coimbatore,Mettupalayam,Kandiyur R.F.,Kandiyur R.F.,11,notified_forest,False,True,Kandiyur R F,Mettupalayam,Coimbatore,644363,644363,100.0,dist+tal,19.908
TAMIL NADU,Coimbatore,Mettupalayam,Melur Slope R.F.,Melur Slope R.F.,12,notified_forest,False,True,Melur Slope R F,Mettupalayam,Coimbatore,644366,644366,100.0,dist+tal,20.032
TAMIL NADU,Coimbatore,Mettupalayam,Nellithurai and Sundapatti R.F.,Nellithurai and Sundapatti R.F.,13,notified_forest,False,True,Nellithurai And Sundapatti R F,Mettupalayam,Coimbatore,644365,644365,100.0,dist+tal,15.66
TAMIL NADU,Coimbatore,Mettupalayam,Nilgiri Eastern Slope R.F.,Nilgiri Eastern Slope R.F.,14,notified_forest,False,True,Nilgiri Eastern Slope R F,Mettupalayam,Coimbatore,644367,644367,100.0,dist+tal,56.798
TAMIL NADU,Coimbatore,Mettupalayam,Odanthurai R.F.,Odanthurai R.F.,15,notified_forest,False,True,Odanthurai R F,Mettupalayam,Coimbatore,644358,644358,100.0,dist+tal,28.734
TAMIL NADU,Coimbatore,Mettupalayam,Pillur Slope R.F.,Pillur Slope R.F.,16,notified_forest,False,True,Pillur Slope R F,Mettupalayam,Coimbatore,644364,644364,100.0,dist+tal,15.101
TAMIL NADU,Coimbatore,Udumalaipettai,Amaravathi R.F.,Amaravathi R.F.,17,notified_forest,False,True,Amaravathi R F,Udumalaipettai,Tiruppur,644875,644875,100.0,state,163.504
TAMIL NADU,Coimbatore,Udumalaipettai,Amravathi R.F./Anamalai R.F.,Amravathi R.F./Anamalai R.F.,18,notified_forest,False,True,Anaimalai Tp,Anaimalai,Coimbatore,804006,252678,94.1,dist,16.793
TAMIL NADU,Coimbatore,Udumalaipettai,Anamalai R.F.,Anamalai R.F.,20,notified_forest,False,True,Anamalai R F,Udumalaipettai,Tiruppur,644876,644876,100.0,state,240.897
TAMIL NADU,Coimbatore,Udumalaipettai,Kudiraiar & Kukkal R.F.,Kudiraiar & Kukkal R.F.,22,notified_forest,False,True,Kudiraiar and Kukkal R F,Udumalaipettai,Tiruppur,644877,644877,100.0,state,50.179
TAMIL NADU,Coimbatore,Udumalaipettai,Manjampatti R.F.,Manjampatti R.F.,23,notified_forest,False,True,Manjampatti,Madurai North,Madurai,640569,640569,100.0,state,4.729
TAMIL NADU,Coimbatore,Valparai,Valparai (TP),Valparai (TP),30,whole_village,False,False,Valparai M,Valparai,Coimbatore,804010,252689,100.0,dist+tal,705.169
TAMIL NADU,Dindigul,Dindigul,Adalur,Adalur,31,whole_village,False,False,Adalur,Dindigulwest,Dindigul,635366,635366,100.0,dist,14.366
TAMIL NADU,Dindigul,Dindigul,Erukkalmalai R.F.,Erukkalmalai R.F.,32,notified_forest,False,True,Erukkalmalai R F,Natham,Dindigul,635408,0,100.0,dist,4.341
TAMIL NADU,Dindigul,Dindigul,Kannivadi (TP),Kannivadi (TP),33,whole_village,False,False,Kannivadi Tp,Dharapuram,Tiruppur,804015,252705,100.0,state,37.859
TAMIL NADU,Dindigul,Dindigul,Kannivadi (TP),Kannivadi (TP),34,whole_village,False,False,Kannivadi Tp,Dindigulwest,Dindigul,803590,252589,100.0,dist,103.018
TAMIL NADU,Dindigul,Dindigul,Sirumalai,Sirumalai,35,whole_village,False,False,Sirumalai R F,Dindiguleast,Dindigul,635407,635407,100.0,dist+tal,53.961
TAMIL NADU,Dindigul,Kodaikanal,Adukkam,Adukkam,36,whole_village,False,False,Adukkam,Kodaikanal,Dindigul,635445,635445,100.0,dist+tal,111.725
TAMIL NADU,Dindigul,Kodaikanal,Kamanur,Kamanur,37,whole_village,False,False,Kamanur,Kodaikanal,Dindigul,635446,635446,100.0,dist+tal,13.844
TAMIL NADU,Dindigul,Kodaikanal,Kilakkuchettipatti,Kilakkuchettipatti,38,whole_village,False,False,Kilakkuchettipatti,Kodaikanal,Dindigul,635447,635447,100.0,dist+tal,26.931
TAMIL NADU,Dindigul,Kodaikanal,Kookkal,Kookkal,39,whole_village,False,False,Kookkal,Kodaikanal,Dindigul,635434,635434,100.0,dist+tal,104.192
TAMIL NADU,Dindigul,Kodaikanal,Pachalur,Pachalur,40,whole_village,False,False,Pachalur,Kodaikanal,Dindigul,635437,635437,100.0,dist+tal,57.994
TAMIL NADU,Dindigul,Kodaikanal,Periyur,Periyur,41,whole_village,False,False,Periyur,Kodaikanal,Dindigul,635438,635438,100.0,dist+tal,16.514
TAMIL NADU,Dindigul,Kodaikanal,Thandigudi,Thandigudi,42,whole_village,False,False,Thandigudi,Kodaikanal,Dindigul,635439,635439,100.0,dist+tal,27.415
TAMIL NADU,Dindigul,Kodaikanal,Vadagounchi,Vadagounchi,43,whole_village,False,False,Vadagounchi,Kodaikanal,Dindigul,635436,635436,100.0,dist+tal,96.272
TAMIL NADU,Dindigul,Kodaikanal,Vellagavi,Vellagavi,44,whole_village,False,False,Vellagavi,Kodaikanal,Dindigul,635444,635444,100.0,dist+tal,92.605
TAMIL NADU,Dindigul,Oddanchatram,Vadagadu,Vadagadu,45,whole_village,False,False,Vadagadu,Oddanchatram,Dindigul,635231,635231,100.0,dist+tal,67.719
TAMIL NADU,Kanyakumari,Agastheeswaram,Thekkumalai R.F. (West And East),Thekkumalai R.F. (West And East),46,whole_village,False,False,Thekkumalai RF West And East,Agastheeswaram,Kanniyakumari,643185,643185,100.0,dist+tal,7.521
TAMIL NADU,Kanyakumari,Kalkulam,Surulacode,Surulacode,47,whole_village,False,False,Surulacode,Thiruvattar,Kanniyakumari,643124,643124,100.0,dist,16.067
TAMIL NADU,Kanyakumari,Kalkulam,Veerapuli Extn. (Old Kulasekarapuram),Veerapuli Extn. (Old Kulasekarapuram),48,whole_village,False,False,Veerapuli Extn Old Kulasekarapuram,Thiruvattar,Kanniyakumari,643137,643137,100.0,dist,6.543
TAMIL NADU,Kanyakumari,Kalkulam,Veerapuli R.F.,Veerapuli R.F.,49,notified_forest,False,True,Veerapuli R F,Thiruvattar,Kanniyakumari,643136,643136,100.0,dist,245.902
TAMIL NADU,Kanyakumari,Kalkulam,Velimalai Forest,Velimalai Forest,50,whole_village,False,False,Velimalai Forest,Kalkulam,Kanniyakumari,643138,643138,100.0,dist+tal,1.561
TAMIL NADU,Kanyakumari,Thovala,Aralvaimozhi (TP),Aralvaimozhi (TP),51,whole_village,False,False,Aralvaimozhi Tp,Thovala,Kanniyakumari,803923,253076,100.0,dist+tal,21.305
TAMIL NADU,Kanyakumari,Thovala,Asambu R.F.,Asambu R.F.,53,notified_forest,False,True,Asambu R F,Thovala,Kanniyakumari,643157,643157,100.0,dist+tal,62.86
TAMIL NADU,Kanyakumari,Thovala,Azhagiapandiapuram (TP),Azhagiapandiapuram (TP),54,whole_village,False,False,Azhagiapandipuram,Thovala,Kanniyakumari,643147,643147,97.1,dist+tal,2.805
TAMIL NADU,Kanyakumari,Thovala,Azhagiapandiapuram (TP),Azhagiapandiapuram (TP),55,whole_village,False,False,Azhagiapandipuram Tp,Thovala,Kanniyakumari,803921,253073,97.4,dist+tal,10.5
TAMIL NADU,Kanyakumari,Thovala,Chiramadam,Chiramadam,56,whole_village,False,False,Chiramadam,Thovala,Kanniyakumari,643150,643150,100.0,dist+tal,12.689
TAMIL NADU,Kanyakumari,Thovala,Poigaimalai R.F.,Poigaimalai R.F.,57,notified_forest,False,True,Poigaimalai R F,Thovala,Kanniyakumari,643159,643159,100.0,dist+tal,20.743
TAMIL NADU,Kanyakumari,Thovala,Thadagamalai R.F.,Thadagamalai R.F.,59,notified_forest,False,True,Thadagamalai R F,Thovala,Kanniyakumari,643160,643160,100.0,dist+tal,36.019
