vid,gz_state,gz_district,gz_taluka,gz_village,censuscode,area_km2,population,pop_density,st_pct,land_dependent_pct,natural_forest_pct,plantation_pct,agri_pct,wl_degraded_forest_pct,rfa_pct,protected_pct,connectivity_pct,outside_rfa_pct,conservation_score,conflict_score,priority,cons_band,risk_band,area_km2,households,pop_st,pop_sc,literacy_pct,land_dependent_pct,workers,cultivators,agri_labourers,uninhabited,lulc_reliable,rfa_gap_suspect,protected_km2,connect_km2,rfa_km2,outside_rfa_km2,nonforest_nonpa_km2,pa_names,esz_names,tiger_names,nh_km,nh_names,fsi_division,fsi_range,fsi_circle,basin,subbasin,forest_pct,agri_pct,lulc_evergreen_pct,lulc_deciduous_pct,lulc_scrub_forest_pct,lulc_grassland_pct,lulc_builtup_pct,wl_degraded_forest_pct,wl_mining_industrial_pct,conservation_n,conflict_n
626770,GOA,North Goa,Sattari,Anjunem,626770.0,2.4364770063397456,0.0,0.0,,,92.42,0.13,0.0,0.0,75.8,86.6,27.5,24.2,81.7,21.7,protect,high,low,2.4364770063397456,0.0,0.0,0.0,,,0.0,0.0,0.0,True,False,False,2.111116844952603,0.669419841517986,1.846833230148216,0.59,0.484,,"Madei WLS, Goa",,0.0,,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,92.81,0.0,75.84,16.58,0.26,0.0,0.0,0.0,0.0,3,3
626785,GOA,North Goa,Sattari,Querim,626785.0,12.204818381420626,2251.0,184.4,0.0,11.9,91.23,2.68,4.36,1.93,52.3,51.6,14.0,47.7,75.3,51.2,"protect, some pressure",high,mid,12.204818381420626,492.0,0.0,43.0,79.0,11.9,801.0,64.0,31.0,False,False,False,6.301005781865213,1.7077332288096836,6.38404735483268,5.821,1.252,Madei WLS,"Madei WLS, Goa",,2.98814681506469,NH-748AA,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,91.23,4.36,55.39,35.84,0.0,0.0,0.0,1.93,0.0,3,4
626803,GOA,North Goa,Sattari,Ambedem,626803.0,1.0117615993982092,272.0,268.8,0.0,19.2,97.83,0.31,0.31,0.0,0.0,42.6,0.0,100.0,46.6,42.7,secondary,mid,low,1.0117615993982092,55.0,0.0,0.0,83.5,19.2,104.0,18.0,2.0,False,False,True,0.4305266035029941,0.0,0.0,1.012,0.86,Madei WLS,"Madei WLS, Goa",,0.0,,,,,West flowing rivers from Tapi to Tadri,Vasishti and others,99.38,0.31,4.04,93.79,1.55,0.0,0.0,0.0,0.0,3,4
626839,GOA,North Goa,Sattari,Ambeli,626839.0,2.1271751614237635,104.0,48.9,21.2,27.3,86.43,3.39,5.02,0.59,26.4,63.8,0.0,73.6,52.0,27.8,secondary,mid,low,2.1271751614237635,22.0,22.0,0.0,78.8,27.3,33.0,3.0,6.0,False,False,False,1.357671145740854,0.0,0.561500002460422,1.566,1.566,,"Madei WLS, Goa",,0.0,,,,,West flowing rivers from Tapi to Tadri,Vasishti and others,88.05,5.02,0.0,86.43,1.47,0.0,0.0,0.59,2.507,3,4
626814,GOA,North Goa,Sattari,Ansolem,626814.0,1.5743089382229478,186.0,118.1,0.0,3.6,80.12,6.02,13.25,0.0,74.3,40.4,0.0,25.7,60.4,33.3,protect,high,low,1.5743089382229478,47.0,0.0,0.0,54.3,3.6,111.0,4.0,0.0,False,False,False,0.6366989003805971,0.0,1.169091921736809,0.405,0.0,Madei WLS,,,0.0,,,,,West flowing rivers from Tapi to Tadri,Vasishti and others,80.12,13.25,0.0,80.12,0.0,0.0,0.0,0.0,0.0,3,4
626836,GOA,North Goa,Sattari,Assodem,626836.0,4.762569694337672,120.0,25.2,0.0,5.9,92.95,2.18,3.89,1.979,91.9,79.7,56.6,8.1,87.6,21.2,protect,high,low,4.762569694337672,24.0,0.0,0.0,69.2,5.9,34.0,1.0,1.0,False,False,False,3.796286827807706,2.695084683155063,4.377373052110845,0.385,0.0,Madei WLS,"Madei WLS, Goa",,0.0,,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,93.94,3.89,31.93,61.02,0.99,0.0,0.0,1.979,0.0,3,4
626830,GOA,North Goa,Sattari,Birondem,626830.0,2.6792373892208627,476.0,177.7,0.0,7.9,92.97,5.62,0.24,0.0,0.0,0.0,0.0,100.0,44.1,38.1,secondary,mid,low,2.6792373892208627,126.0,0.0,12.0,81.5,7.9,228.0,12.0,6.0,False,False,True,0.0,0.0,0.0,2.679,2.679,,,,0.0,,,,,West flowing rivers from Tapi to Tadri,Vasishti and others,94.14,0.24,4.33,88.64,0.0,0.0,0.0,0.0,0.0,3,4
626802,GOA,North Goa,Sattari,Bombedem,626802.0,2.1571720240086525,37.0,17.2,0.0,70.6,93.35,0.14,1.15,0.0,4.2,0.0,0.0,95.8,49.9,43.3,moderate on both,mid,mid,2.1571720240086525,8.0,0.0,0.0,91.9,70.6,17.0,12.0,0.0,False,False,False,0.0,0.0,0.0916503401062416,2.066,2.066,,,,0.0,,,,,West flowing rivers from Tapi to Tadri,Vasishti and others,98.27,1.15,2.32,91.03,4.92,0.0,0.43,0.0,0.0,3,4
626807,GOA,North Goa,Sattari,Buimpal,626807.0,4.198194868649163,1403.0,334.2,1.8,6.2,66.44,7.61,1.93,0.0,46.5,40.0,0.0,53.5,48.4,61.2,pressure-led,mid,high,4.198194868649163,303.0,25.0,13.0,71.9,6.2,439.0,26.0,1.0,False,False,False,1.6798963087163137,0.0,1.9525552978445928,2.246,1.26,Madei WLS,"Madei WLS, Goa",,0.0,,,,,West flowing rivers from Tapi to Tadri,Vasishti and others,66.44,1.93,0.0,66.44,0.0,0.0,12.23,0.0,0.0,3,4
626793,GOA,North Goa,Sattari,Carambolim - Brama,626793.0,5.330189096332814,445.0,83.5,0.0,34.9,91.89,2.12,2.41,0.0,76.0,80.4,15.7,24.0,80.8,42.6,protect,high,low,5.330189096332814,96.0,0.0,0.0,75.7,34.9,152.0,22.0,31.0,False,False,False,4.287109001110212,0.8371503614700055,4.049398169456643,1.281,0.0,Madei WLS,"Madei WLS, Goa",,0.0,,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,94.01,2.41,29.69,62.2,2.12,0.0,0.24,0.0,0.0,3,4
626821,GOA,North Goa,Sattari,Caranbolim - Buzruco,626821.0,4.645381248075083,468.0,100.7,0.0,8.7,94.74,1.89,0.94,0.608,80.8,94.9,80.8,19.2,86.9,32.4,protect,high,low,4.645381248075083,98.0,0.0,0.0,71.2,8.7,196.0,3.0,14.0,False,False,False,4.408927312193416,3.753290401621219,3.7550454844464647,0.89,0.0,Madei WLS,"Madei WLS, Goa",,0.0,,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,97.17,0.94,1.69,93.05,2.43,0.0,0.0,0.608,0.0,3,4
626820,GOA,North Goa,Sattari,Caranzol,626820.0,39.74558346770244,839.0,21.1,0.0,24.1,96.5,0.47,0.63,0.607,99.5,98.8,81.3,0.5,92.8,39.9,protect,high,low,39.74558346770244,176.0,0.0,0.0,71.0,24.1,452.0,21.0,88.0,False,True,False,39.284273963113904,32.31129653236127,39.55781915099566,0.188,0.0,Madei WLS; Mollem,"Madei WLS, Goa",,0.0,,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,96.6,0.63,38.05,58.45,0.07,0.0,1.74,0.607,0.0,3,4
626773,GOA,North Goa,Sattari,Choraundem,626773.0,6.134797542056418,708.0,115.4,0.0,25.8,99.23,0.31,0.46,3.321,73.5,99.7,77.3,26.5,87.5,49.7,"protect, some pressure",high,mid,6.134797542056418,153.0,0.0,2.0,76.6,25.8,233.0,48.0,12.0,False,False,False,6.114695719452759,4.7432159945269445,4.511951921012383,1.623,0.0,Madei WLS,"Madei WLS, Goa",,2.63569236870192,NH-748AA,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,99.23,0.46,67.09,32.14,0.0,0.0,0.0,3.321,0.0,3,4
626780,GOA,North Goa,Sattari,Codal,626780.0,12.332504989151126,177.0,14.4,2.3,44.3,98.91,0.13,0.33,2.387,99.9,100.0,98.6,0.1,95.7,26.6,protect,high,low,12.332504989151126,44.0,4.0,0.0,75.7,44.3,79.0,24.0,11.0,False,False,False,12.332504989151117,12.164107889871966,12.323544347493684,0.009,0.0,Madei WLS,"Madei WLS, Goa",,0.0,,,MEDAI WLS RANGE,,West flowing rivers from Tapi to Tadri,Vasishti and others,99.52,0.33,77.5,21.41,0.0,0.0,0.0,2.387,0.0,3,4
