state,page,point,lon,lat
Gujarat,156,1,73.6032,21.115
Gujarat,156,32,73.8176,20.7309
Gujarat,156,2,73.6322,21.1018
Gujarat,156,33,73.8638,20.7539
Gujarat,156,3,73.6505,21.0659
Gujarat,156,34,73.8474,20.7254
Gujarat,156,4,73.625,21.0793
Gujarat,156,35,73.8962,20.743
Gujarat,156,5,73.6069,21.0374
Gujarat,156,36,73.9232,20.7463
Gujarat,156,6,73.6553,21.0406
Gujarat,156,37,73.9075,20.779
Gujarat,156,7,73.7128,21.0508
Gujarat,156,38,73.9067,20.8222
Gujarat,156,8,73.6303,21.0184
Gujarat,156,39,73.6185,21.1326
Gujarat,156,9,73.6174,20.9179
Gujarat,156,40,73.7369,21.0523
Gujarat,156,10,73.6545,20.9095
Gujarat,156,41,73.6563,21.0015
Gujarat,156,11,73.6924,20.8578
Gujarat,156,42,73.6173,20.9957
Gujarat,156,12,73.7185,20.9055
Gujarat,156,43,73.5705,21.0126
Gujarat,156,13,73.725,20.968
Gujarat,156,44,73.5484,21.0285
Gujarat,156,14,73.5147,21.0124
Gujarat,156,45,73.5327,20.9373
Gujarat,156,15,73.5154,20.9491
Gujarat,156,46,73.5063,20.9267
Gujarat,156,16,73.4792,20.9875
Gujarat,156,47,73.5014,20.8211
Gujarat,156,17,73.4447,20.9682
Gujarat,156,48,73.5042,20.856
Gujarat,156,18,73.4826,20.9432
Gujarat,156,49,73.4502,20.8136
Gujarat,156,19,73.5138,20.9101
Gujarat,156,50,73.4769,20.7495
Gujarat,156,20,73.5482,20.9305
Gujarat,156,51,73.4884,20.79
Gujarat,156,21,73.5136,20.8413
Gujarat,156,52,73.7381,21.0018
Gujarat,156,22,73.4317,20.7544
Gujarat,156,53,73.6472,20.9811
Gujarat,156,23,73.4227,20.7929
Gujarat,156,54,73.9282,20.8433
Gujarat,156,24,73.6622,20.6
Gujarat,156,55,73.9318,20.7644
Gujarat,156,25,73.6784,20.6307
Gujarat,156,56,73.94,20.7574
Gujarat,156,26,73.718,20.6179
Gujarat,156,57,73.8786,20.7286
Gujarat,156,27,73.7638,20.6209
Gujarat,156,58,73.8306,20.7035
Gujarat,156,28,73.8108,20.6506
Gujarat,156,59,73.6328,21.1482
Gujarat,156,29,73.7521,20.6693
Gujarat,156,60,73.6676,21.1525
Gujarat,156,30,73.7374,20.7053
Gujarat,156,61,73.7273,20.5759
Gujarat,156,31,73.7607,20.7363
Maharashtra,158,1,74.0058,20.8256
Maharashtra,158,37,73.1944,19.4682
Maharashtra,158,2,74.1064,20.7453
Maharashtra,158,40,73.3863,19.6241
Maharashtra,158,3,74.0194,20.6892
Maharashtra,158,41,73.4258,19.4225
Maharashtra,158,4,74.0191,20.612
Maharashtra,158,42,73.5894,19.4016
Maharashtra,158,5,73.9412,20.6054
Maharashtra,158,43,73.5123,19.2406
Maharashtra,158,6,73.8781,20.5993
Maharashtra,158,44,73.4137,19.068
Maharashtra,158,7,73.8235,20.4918
Maharashtra,158,45,73.3746,18.8911
Maharashtra,158,8,73.9932,20.5268
Maharashtra,158,46,73.3242,18.7207
Maharashtra,158,9,74.0579,20.5785
Maharashtra,158,47,73.2432,18.6505
Maharashtra,158,10,74.053,20.4379
Maharashtra,158,48,73.0729,18.534
Maharashtra,158,11,74.019,20.3664
Maharashtra,158,49,72.987,18.4214
Maharashtra,158,12,73.8978,20.4141
Maharashtra,158,51,73.253,18.4548
Maharashtra,158,13,73.6994,20.4375
Maharashtra,158,52,73.3929,18.3701
Maharashtra,158,14,73.72,20.5541
Maharashtra,158,53,73.3688,18.2641
Maharashtra,158,15,73.6027,20.5913
Maharashtra,158,54,73.4378,18.1272
Maharashtra,158,16,73.5408,20.5605
Maharashtra,158,55,73.5931,18.092
Maharashtra,158,17,73.5606,20.4596
Maharashtra,158,56,73.5066,17.9903
Maharashtra,158,18,73.5139,20.3488
Maharashtra,158,57,73.3683,17.8302
Maharashtra,158,19,73.4652,20.28
Maharashtra,158,58,73.4914,17.6993
Maharashtra,158,20,73.5387,20.2201
Maharashtra,158,59,73.5768,17.5912
Maharashtra,158,21,73.486,20.1581
Maharashtra,158,60,73.5668,17.4195
Maharashtra,158,22,73.3898,20.1504
Maharashtra,158,61,73.5612,17.3075
Maharashtra,158,24,73.3232,19.9966
Maharashtra,158,62,73.6318,17.1219
Maharashtra,158,25,73.2398,20.0314
Maharashtra,158,63,73.6692,16.942
Maharashtra,158,26,73.4839,20.0493
Maharashtra,158,64,73.5789,16.781
Maharashtra,158,27,73.4799,19.9053
Maharashtra,158,65,73.6967,16.664
Maharashtra,158,28,73.5366,19.8061
Maharashtra,158,66,73.6991,16.4548
Maharashtra,158,29,73.5707,19.7128
Maharashtra,158,67,73.7466,16.3661
Maharashtra,158,30,73.1098,20.0325
Maharashtra,158,68,73.6751,16.1957
Maharashtra,158,31,73.043,19.9627
Maharashtra,158,69,73.7503,16.0491
Maharashtra,158,32,73.1282,19.893
Maharashtra,158,70,73.8298,15.8853
Maharashtra,158,33,73.1898,19.7765
Maharashtra,158,71,73.7949,15.7828
Maharashtra,158,34,73.1248,19.6719
Maharashtra,158,72,73.6179,15.9528
Maharashtra,158,35,73.1853,19.6466
Maharashtra,158,73,73.4909,16.2748
Maharashtra,158,36,73.1206,19.5384
Maharashtra,158,74,73.507,16.3905
Maharashtra,159,75,73.6341,16.4554
Maharashtra,159,109,73.768,18.187
Maharashtra,159,76,73.6904,16.3323
Maharashtra,159,110,73.634,18.3107
